country,date,name,price,weight
nic,1/14/2022,te manzanilla manzate caja  unidades ,165,0.12
nic,1/14/2022,pasta naturas tomate tradicional ,18,0.11
nic,1/14/2022,cafe casa del cafe molido house blend ,183,0.45
nic,1/14/2022,pasta anita caracolito ,12,0.17
nic,1/14/2022,aceite clover de soya ,200,2.0
nic,1/14/2022,salsa lizano regular doypack ,46,0.4
nic,1/14/2022,papitas lays original  oz,23,
nic,1/14/2022,vinagre blanco mama gollita,26,0.7
nic,1/14/2022,galleta pozuelo chiky chips ,69,0.24
nic,1/14/2022,canela molida sol maya ,71,0.07
nic,1/14/2022,snackeat value crema y cebolla ,94,0.22
nic,1/14/2022,pasta macarron roma ,26,0.25
nic,1/14/2022,cafe selecto molido clasico ,106,0.4
nic,1/14/2022,gelatina royal frambuesa ,27,0.08
nic,1/14/2022,gomitas panditas ricolino clasicos ,40,0.12
nic,1/14/2022, packeat value pasas de uva ,70,0.03
nic,1/14/2022,cafe dipilto molido gourmet ,150,0.4
nic,1/14/2022,paleta colombina tipitin surtido sabores ,35,0.18
nic,1/14/2022,palomitaeat value microo extramantequilla ,28,0.08
nic,1/14/2022,sopa nissin instantanea de camaron picante vaso ,20,0.06
nic,1/14/2022,miel suli de abeja botella squeeze ,103,0.5
nic,1/14/2022,leche burra el carmen bolsa ,25,0.23
nic,1/14/2022,fecula maizena original de maiz ,62,0.38
nic,1/14/2022,cereal quinoa goya organica ,302,0.34
nic,1/14/2022,frijoles la costeña charro lata ,67,0.56
nic,1/14/2022,hongos richly troceados ,89,0.42
nic,1/14/2022,pasta roma pequeña mini plumas ,26,0.25
nic,1/14/2022,edulcorante splenda cajas ,381,0.2
nic,1/14/2022,dip lactolac queso cheddar ,62,0.23
nic,1/14/2022,salsita naturas de tomate ranchera ,18,0.11
nic,1/14/2022,galleta pozuelo dul mantequilla ,64,0.31
nic,1/14/2022,tomateseat value trozos con ajo ,50,0.41
nic,1/14/2022,consome de pollo favora frasco ,89,0.45
nic,1/14/2022,paleta colombina bon bon bum fresa ,60,0.41
nic,1/14/2022,confite gallito morenito  ,40,0.21
nic,1/14/2022,sal de ajo maggi de la huerta frasco g,63,0.11
nic,1/14/2022, pack pimienta negra favora polvo  .gr,18,0.0
nic,1/14/2022,boquitas frito lay sour cream ,128,0.18
nic,1/14/2022,endulzanteeat value stevia  sobres ,125,0.16
